iter	Passed	Remaining
0	7	2240
1	14	2167
2	19	1943
3	24	1848
4	31	1857
5	36	1806
6	42	1787
7	48	1754
8	54	1755
9	59	1726
10	65	1716
11	70	1699
12	75	1677
13	81	1674
14	86	1652
15	92	1646
16	98	1632
17	103	1616
18	108	1605
19	114	1600
20	119	1593
21	125	1585
22	130	1572
23	136	1564
24	141	1552
25	146	1548
26	152	1541
27	157	1532
28	163	1525
29	168	1516
30	174	1512
31	179	1501
32	185	1499
33	190	1492
34	195	1482
35	200	1473
36	206	1468
37	211	1460
38	216	1451
39	222	1444
40	227	1435
41	232	1426
42	238	1424
43	243	1417
44	249	1412
45	254	1405
46	259	1396
47	264	1389
48	270	1387
49	275	1379
50	281	1375
51	288	1374
52	293	1369
53	299	1365
54	305	1361
55	310	1354
56	317	1352
57	322	1344
58	327	1336
59	332	1329
60	337	1322
61	343	1317
62	348	1311
63	354	1306
64	360	1302
65	365	1295
66	370	1289
67	375	1282
68	380	1275
69	386	1268
70	391	1263
71	396	1256
72	403	1254
73	408	1247
74	414	1242
75	419	1236
76	425	1232
77	430	1225
78	435	1218
79	442	1217
80	448	1211
81	453	1206
82	459	1200
83	465	1196
84	471	1191
85	476	1186
86	481	1179
87	487	1173
88	492	1167
89	498	1162
90	503	1155
91	508	1149
92	513	1143
93	519	1138
94	524	1131
95	529	1126
96	535	1121
97	541	1115
98	546	1109
99	552	1104
100	557	1099
101	564	1095
102	570	1090
103	575	1084
104	580	1078
105	585	1072
106	591	1066
107	596	1060
108	601	1054
109	607	1049
110	613	1043
111	618	1038
112	623	1031
113	628	1026
114	634	1021
115	640	1016
116	646	1011
117	653	1007
118	658	1000
119	663	995
120	668	989
121	674	984
122	680	978
123	685	972
124	692	968
125	697	962
126	702	957
127	708	952
128	714	946
129	720	941
130	726	936
131	731	931
132	736	925
133	741	919
134	747	913
135	753	908
136	759	903
137	765	898
138	771	893
139	776	887
140	782	882
141	787	876
142	793	870
143	798	865
144	803	859
145	809	854
146	815	849
147	820	843
148	827	838
149	833	833
150	838	827
151	843	821
152	850	816
153	855	810
154	860	805
155	866	799
156	873	795
157	879	790
158	885	785
159	892	780
160	897	775
161	903	769
162	909	764
163	914	758
164	920	753
165	926	747
166	932	742
167	938	737
168	944	731
169	949	725
170	954	720
171	960	714
172	966	709
173	970	703
174	975	697
175	981	691
176	986	685
177	992	680
178	997	674
179	1002	668
180	1008	663
181	1014	657
182	1019	651
183	1025	646
184	1030	640
185	1036	635
186	1041	629
187	1047	623
188	1052	618
189	1058	612
190	1064	607
191	1069	601
192	1075	596
193	1080	590
194	1085	584
195	1091	579
196	1096	573
197	1102	568
198	1107	562
199	1115	557
200	1121	552
201	1126	546
202	1131	540
203	1137	535
204	1142	529
205	1147	523
206	1153	518
207	1158	512
208	1164	507
209	1169	501
210	1175	495
211	1181	490
212	1186	484
213	1192	479
214	1198	473
215	1203	468
216	1209	462
217	1214	456
218	1220	451
219	1225	445
220	1231	440
221	1236	434
222	1241	428
223	1246	422
224	1251	417
225	1257	411
226	1262	406
227	1267	400
228	1273	394
229	1278	389
230	1283	383
231	1289	377
232	1295	372
233	1300	366
234	1306	361
235	1312	355
236	1317	350
237	1322	344
238	1328	339
239	1333	333
240	1338	327
241	1343	322
242	1348	316
243	1353	310
244	1358	305
245	1363	299
246	1368	293
247	1374	288
248	1379	282
249	1384	276
250	1390	271
251	1396	265
252	1402	260
253	1407	254
254	1413	249
255	1419	243
256	1424	238
257	1430	232
258	1435	227
259	1442	221
260	1447	216
261	1452	210
262	1458	205
263	1463	199
264	1470	194
265	1476	188
266	1481	183
267	1487	177
268	1494	172
269	1499	166
270	1505	161
271	1510	155
272	1515	149
273	1521	144
274	1527	138
275	1532	133
276	1538	127
277	1543	122
278	1549	116
279	1555	111
280	1561	105
281	1566	100
282	1573	94
283	1580	89
284	1585	83
285	1590	77
286	1596	72
287	1602	66
288	1607	61
289	1613	55
290	1618	50
291	1624	44
292	1630	38
293	1636	33
294	1642	27
295	1647	22
296	1652	16
297	1659	11
298	1665	5
299	1670	0
